apps/erpnext/erpnext/accounts/doctype/account/account.js +21,Please create new account from Chart of Accounts.,Silahkan buat akun baru dari Bagan Akun.
apps/erpnext/erpnext/accounts/doctype/account/account.js +41,This is a root account and cannot be edited.,Ini adalah akun dasar dan tidak dapat diedit.
apps/erpnext/erpnext/accounts/doctype/account/account.js +62,Group to Non-Group,Jadikan Akun Entri
apps/erpnext/erpnext/accounts/doctype/account/account.js +73,Ledger,Buku Besar
apps/erpnext/erpnext/accounts/doctype/account/account.js +83,Non-Group to Group,Jadikan Kelompok
apps/erpnext/erpnext/accounts/doctype/account/account.py +26,Company {0} does not exist,Perusahaan {0} tidak ada
apps/erpnext/erpnext/accounts/doctype/account/account.py +48,Account {0}: Parent account {1} does not exist,Akun {0}: Akun Induk {1} tidak ada
apps/erpnext/erpnext/accounts/doctype/account/account.py +50,Account {0}: You can not assign itself as parent account,Akun {0}: Tidak dapat menetapkan diri sendiri sebagai akun induk
apps/erpnext/erpnext/accounts/doctype/account/account.py +52,Account {0}: Parent account {1} can not be a ledger,Akun {0}: Akun Induk {1} tidak dapat berupa buku besar
apps/erpnext/erpnext/accounts/doctype/account/account.py +54,Account {0}: Parent account {1} does not belong to company: {2},Akun {0}: Akun Induk {1} bukan milik perusahaan: {2}
apps/erpnext/erpnext/accounts/doctype/account/account.py +84,Root cannot be edited.,Akun Dasar tidak dapat diedit.
apps/erpnext/erpnext/accounts/doctype/account/account.py +87,Root Account must be a group,Akun Dasar harus kelompok
apps/erpnext/erpnext/accounts/doctype/account/account.py +96,Account with existing transaction cannot be converted to ledger,Akun yang ada transaksinya tidak dapat dikonversi ke buku besar
apps/erpnext/erpnext/accounts/doctype/account/account.py +99,Cannot covert to Group because Account Type is selected.,Tidak dapat dijadikan Kelompok karena punya Tipe Akun.
apps/erpnext/erpnext/accounts/doctype/account/account.py +101,Account with child nodes cannot be set as ledger,Akun dengan sub-akun tidak dapat ditetapkan sebagai akun entri
apps/erpnext/erpnext/accounts/doctype/account/account.py +109,You are not authorized to set Frozen value,Anda tidak berwenang mengisi nilai akun yang dibekukan
apps/erpnext/erpnext/accounts/doctype/account/account.py +117,"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Saldo rekening sudah Debit, anda tidak bisa menetapkan 'Jenis Saldo' sebagai 'Kredit'"
apps/erpnext/erpnext/accounts/doctype/account/account.py +119,"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Saldo rekening sudah Kredit, anda tidak bisa menetapkan 'Jenis Saldo' sebagai 'Debit'"
apps/erpnext/erpnext/accounts/doctype/account/account.py +127,Currency can not be changed after making entries using some other currency,Mata uang tidak dapat diubah setelah melakukan transaksi menggunakan mata uang lain
apps/erpnext/erpnext/accounts/doctype/account/account.py +131,Account with child nodes cannot be converted to ledger,Akun dengan akun anak tidak dapat dikonversi ke akun entri
apps/erpnext/erpnext/accounts/doctype/account/account.py +141,Account with existing transaction can not be converted to group.,Akun yang ada transaksinya tidak dapat dikonversi ke akun kelompok.
apps/erpnext/erpnext/accounts/doctype/account/account.py +159,Root Type is mandatory,Jenis Akun Dasar harus diisi
apps/erpnext/erpnext/accounts/doctype/account/account.py +162,Report Type is mandatory,Jenis Laporan harus diisi
apps/erpnext/erpnext/accounts/doctype/account/account.py +177,Account with existing transaction can not be deleted,Akun yang ada transaksinya tidak dapat dihapus
apps/erpnext/erpnext/accounts/doctype/account/account.py +179,Child account exists for this account. You can not delete this account.,Ada akun anak untuk akun ini. anda tidak dapat menghapus akun ini.
apps/erpnext/erpnext/accounts/doctype/account/account.py +193,Account {0} does not exist,Akun {0} tidak ada
